State,Number of CoCs,"Overall Homeless, 2011","Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
AK,2,2128,1035,725,0,1760,368,1286,21,703,8,339,12,0,1042,20,244,1,842,332,386,718,124,277,124,116,240,37,253,194,0,194,59,226,169,0,169,57,27,25,25,2,288,236,52
AL,8,5558,1615,2100,34,3749,1809,4325,114,1219,38,1529,32,34,2782,70,1543,44,1233,396,571,967,266,434,134,194,328,106,1114,384,34,418,696,1046,362,34,396,650,68,22,22,46,659,387,272
AR,7,3424,1018,784,0,1802,1622,2505,158,762,78,558,72,0,1320,150,1185,8,919,256,226,482,437,349,104,83,187,162,607,328,0,328,279,500,267,0,267,233,107,61,61,46,411,268,143
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,10504,3571,3691,40,7302,3202,6403,117,2245,20,1399,15,40,3684,35,2719,82,4101,1326,2292,3618,483,1239,406,713,1119,120,2283,988,40,1028,1255,1939,698,40,738,1201,344,290,290,54,1528,1018,510
CA,42,125128,26282,24220,189,50691,74437,97964,1689,15920,248,12919,195,189,29028,443,68936,1246,27164,10362,11301,21663,5501,9021,3543,3750,7293,1728,34589,6940,99,7039,27550,30807,5727,99,5826,24981,3782,1213,1213,2569,16783,6689,10094
CO,3,15116,2979,3142,25,6146,8970,4546,448,1802,132,824,10,25,2651,142,1895,306,10570,1177,2318,3495,7075,2935,423,731,1154,1781,1495,524,25,549,946,1288,351,25,376,912,207,173,173,34,2074,1381,693
CT,7,4456,2358,1403,0,3761,695,3071,2,1622,2,795,0,0,2417,2,654,0,1385,736,608,1344,41,482,259,206,465,17,1099,769,0,769,330,1043,713,0,713,330,56,56,56,0,443,396,47
DC,1,6546,3641,2600,0,6241,305,3858,26,2636,22,917,4,0,3553,26,305,0,2688,1005,1683,2688,0,858,326,532,858,0,2509,2234,0,2234,275,2093,1818,0,1818,275,416,416,416,0,515,490,25
DE,1,1035,549,454,10,1013,22,663,0,375,0,256,0,10,641,0,22,0,372,174,198,372,0,116,54,62,116,0,70,53,6,59,11,70,53,6,59,11,0,0,0,0,55,53,2
FL,28,56687,9641,11032,151,20824,35863,37584,1031,6849,273,6934,178,151,13934,451,23650,580,19103,2792,4098,6890,12213,6483,1001,1324,2325,4158,11638,3437,140,3577,8061,10263,3055,140,3195,7068,1375,382,382,993,5644,2276,3368
GA,7,20975,4483,4240,0,8723,12252,15975,103,3301,11,2087,0,0,5388,11,10587,92,5000,1182,2153,3335,1665,1661,410,722,1132,529,4581,2112,0,2112,2469,3879,1841,0,1841,2038,702,271,271,431,2243,1025,1218
GU,1,1745,67,137,0,204,1541,279,0,10,0,26,0,0,36,0,243,0,1466,57,111,168,1298,250,14,25,39,211,370,0,0,0,370,25,0,0,0,25,345,0,0,345,33,7,26
HI,2,6188,1076,2531,25,3632,2556,3195,7,527,3,525,0,25,1077,3,2118,4,2993,549,2006,2555,438,775,150,500,650,125,935,97,19,116,819,904,92,19,111,793,31,5,5,26,505,210,295
IA,3,3134,1179,1834,0,3013,121,1628,41,765,22,753,19,0,1518,41,110,0,1506,414,1081,1495,11,472,130,337,467,5,351,284,0,284,67,315,248,0,248,67,36,36,36,0,267,255,12
ID,2,2199,797,788,0,1585,614,1310,7,548,5,293,0,0,841,5,469,2,889,249,495,744,145,297,92,164,256,41,308,149,0,149,159,236,129,0,129,107,72,20,20,52,250,169,81
